Title,Text,Date,Name
Awesome product,"This feels great on my hair, my hair is fine however it’s light and hydrating, leaving my hair really glossy and fresh. Love the tube for work travel, easily fits in my toiletry bag. ",4 months ago, Simonne F. 
It's a yes from me!,The tidal 10 minute Hair Mask made my hair feel so silky and soft! I got so many compliments on my hair after I'd used this hair mask. ITS A 10/10 FOR ME!❤️,4 months ago, liahn h. 
Amazing for curly hair,Thsi works so well to give curly hair a glossy sheen that is tangle free. I’ve so moisturising and really makes your hair smell amazing i absolutely love it!!,4 months ago, ruby v. 
love it! ,I LOVE IT MAKES ME HAIR SO SOFT AND KEEPS MY CURLS NICE ! ,4 months ago, kea b. 
ABSOLUTELY AMAZING ,It makes my hair feel incredibly soft and silky. I use it twice a week and have already seen a huge difference in shine and silk in my hair.  Will be ordering again. I’m in love ,4 months ago, Kayla K. 
AMAZING ,This product has been a life saver!!!! i am fully obsessed with it xx,4 months ago, Madi 
Silky soft hair!!,"My hair has felt amazing since using the hair mask. So quick, so easy and such promising results 💕",4 months ago, Mela M. 
THIS HAIR MASK!,My gosh I love this hair mask I leave it in for 10-15minutes and always leaves my hair super lightweight clean and fluffy but not frizzy xx,4 months ago, Alannah W. 
Love at first  try!! ,"The first ever use of this product proved that it's one to keep buying! It felt soo nice washing it out of my hair,  and then my hair felt amazing once it was dry.  So soft and left my hair tangle free. I just kept running my fingers through my hair the day I used it!!",4 months ago, Kelly R. 
Super moisturising!,"I have blonde, frizzy, dry hair, but its also thin and gets weighed down with product easily., This was perfectly balanced and left my hair feeling sleek, shiny, healthy and light. Also, its only 10 minutes, i just apply it in the shower and rinse at the end. So simple and smells amazing. THANK YOU!",4 months ago, Janelle D. 
LOVE,"Love the this product, my hair felt amazing after the first use, I have dry bleached hair and this left it feeling soft and moisturized. The tube packaging makes it easy to use! ",4 months ago, Mel C. 
Soft and silky hair,Loved this mask - left my hair feeling so much softer and silkier! Absolutely love it xx,4 months ago, Makeup by Roma J. 
Love!!,I absolutely love this product. It leaves my hair glowing & feeling so soft after only 10 mins!! Would definitely recommend ,5 months ago, Anna M. 
Soft silky hair! ,"Love this hair mask!! Left my hair feeling so silly and smooth. This mask is even for my curly haired girlies, it helped tame the frizz & made my curls so much bouncier. Highly recommend!",5 months ago, Angel M. 
In love with this hair mask,10/10 fully I love with this hair mask would recommend leaves you’re hair feeling soft for a good week,5 months ago, Casey 
Pleasantly surprised,"There isn't a pleasant smell, and the texture is super thick and sludgy and didn't seem to absorb straight away. But it made my hair feel really soft and hydrated for days after.",5 months ago, Mercedes 
Silky Smooth with easy hair mask,This hair mask is so easy to use! I love the packaging and that it’s a squeeze bottle compared to other masks I’ve used. I just put the mask in when I was in the shower and then washed my body and shaved and by the time I was done it was 10 minutes and I could rinse off. How fast! My hair felt so luscious and smooth afterwards and let’s not forget how nice it smelt. Super happy with this product and would definitely use again. I’ve included before and after pictures of hair ,5 months ago, Emily S. 
Lushhhhhhhh ,The smell is so yummy! My hair felt to beautiful and smooth after using this treatment. ,5 months ago, Hope J. 
So soft and fresh,"I was interested to see how this would work and was quite skeptical, but I was pleasantly surprised at how fresh and soft my hair felt after using it once. Really nice product and would reuse and reccomend. ",5 months ago, Charlotte C. 
Tidal 10 Minute Miracle Hair Mask Review ,I love this product!! I have recently bleached my hair and I have been looking for a product that makes my hair still feel soft and smooth. This hair mask is it! Also smells super good too. ,5 months ago, Camryn  
Tidal 10 Minute Miracle Hair Mask!!!!,"This was the first time I have used this product, and am absolutely blown away by how soft and shiny my hair looked afterwards! Definitely gave my hair some intense hydrating it needed and I would 100% recommend :)) ",5 months ago, Kate E. 
Fantastic ,"I loved the way my hair felt after using this, so sift and hydrated. Nice to have healthy looking hair again. ",5 months ago, Amanda M. 
Amazing!!!,I love this product so much I would definitely buy it again! It’s very easy to use and made my hair so soft and silky. It has kept my hair healthy and for best results I use this product once a weak.,5 months ago, Shradha M. 
Love this!,"This is really an amazing hair mask. My hair is bleached and had gone through a lot but everytime I use this weekly, it gives my hair a smooth texture and soft feel every time.",5 months ago, Karen V. 
Amazing,"I have really thin hair, and this product leaves my hair feeling amazing and even looks healthier since iv used it. 😍 ",5 months ago, Theresa P. 
Amazing!,"My hair feels so smooth, shiny and less frizzy.  It is now apart of my weekly regime.",5 months ago, Leah C. 
Tidal Hair Mask ,"The first time I used the Tidal 10 minute Hair Mask, I was in disbelief! My hair was so dry and damaged  and in just one use, it was completely transformed. I now use the mask once a week and my hair has never had more shine and softness!! In Love!!! 10/10 recommend ❤️",5 months ago, Jamie Lynn M. 
Healthier hair!!,I loved using the mask! I use it once a week and makes my hair so much softer and feeling much more healthier! Feels like I’ve just had my hair done after every use!! ,5 months ago, Millie B. 
Gives my hair a shine!,I used this in the shower before conditioning and found it gave my hair such a shine once blow-dried! I love how thick and easy to lather it is - a little definitely goes a long way!,5 months ago, Alexandra 
Amazing Hair Mask,Such a great hair mask; my hair felt so soft and light after a single use!! love it ,6 months ago, Scarlett W. 
"LOVE IT, BUY IT! ","Tidal Hair 10 Minute Mask- , *I have a naturally curly, frizzy and thick hair type* , This mask has helped tremendously with my postpartum hair loss, and has left my hair so soft! I find it’s much more tame, and easier to style once dry. I have been using it once a week when I wash my hair for the past month, and have already noticed a difference. As someone who has access to hair products through their job, I was honestly amazed with this mask. , You need this! ",6 months ago, Allie F. 
Tidal hair mask 10/10 😍,"I thought the mask was absolutely amazing ! Easy to use ! Scent was beautiful and wasn’t overpowering ! , Done an amazing job keeping my hair silky and smooth ! Would 100% recommend ",6 months ago, Kim K. 
The absolute BEST 😍😍😍,I have tried SO many hair masks over the past few years & I can genuinely say there’s not been one that even comes close to how shiny & healthy this leaves your hair looking 😩 I was so shocked at the results after literally just one use! Definitely definitely definitely recommend 🧡🧡🧡,6 months ago, Jessica K. 
Tidal hair mask!,"I have been using this hair mask for a while now, and I noticed results after the first night I used it! My hair is starting to bring back it’s natural waves, and it makes it way easier to style my hair! Because I bleach my hair the ends were quite thin and course, but this hair mask makes my hair look silky and thicker! Would definitely recommend, will be my forever go-to! These pictures are results from the first time night I used it, woke up very impressed and didn’t take much to style it as it already looked great!",6 months ago, Ella 
Incredible product ,I love love love this mask. I used it on my hair extensions also and it has left my hair so shiny and lush. Will definitely continue using this product. 10/10 thanks guys ,6 months ago, Hannah  
Tidal hair mask! ,After using the tidal hair mask my hair felt incredibly smooth! The shine it also gives your hair is amazing. 10/10 would recommend this product if you are after healthier looking hair! Here's my before and after x,6 months ago, Alexi Gilbert  
Too perfect 🤩 ,"Honestly, I can’t fault this product it felt amazing on the hair. It gave it a natural shine & it was super smooth. I will be using this once a week now :) ",6 months ago, Samantha  
Best mask I've used!,"I have always been an avid Olaplex user but this is just as good (if not better). Hair feels amazing after use, even days later. Will definitely re-purchase.",6 months ago, Tracey P. 
Amazing!!! 🤩,Absolute Miracle worker 🧡🙌🏻,6 months ago, Jaide N. 
This hair mask is AAMAZING! ,"I am so impressed with this 10minute hair mask, it has left my hair feeling so lush, extra soft and shiny AND after washing it out and letting my hair dry it has taken away the frizz 🙌🏼.  I 10/10 reccomend 🧡 ",6 months ago, Laetitia T. 
Loved it!!,"I have oily roots & fry ends - Made my hair sooo soft, and smelt freaking amazing!! ",6 months ago, Neve G. 
10 minute hair mask ,I have very dry & frizzy hair this product makes your hair feel hydrated and soft I’m obsessed 😍 I cannot recommend it enough ,6 months ago, Carlete H. 
Mask review,Makes hair smoother and silky,6 months ago, Ellen J. 
Soft straight hair,"I really liked the mask and it is really easy to use. It did actually leave my hair looking amazing but I actually got out the shower and had a rash all over my arms which I've never had before, ever. I can't be sure it was the mask but it was the only new thing I had used. It went down with an antihistamine and I think I would try the mask again to be sure it wasn't that and because my hair did actually look great but maybe just a warning if you are super sensitive as I'm not and I think it affected me. ",6 months ago, Sarah K. 
Hair mask review ,This product was amazing!!! Made my hair feel so soft and left it looking shiny 10/10 would recommend ,6 months ago, Jessica G. 
Best mask! ,This is the best hair mask I have used! Smells amazing and leaves your hair feeling so smooth and shiny! ,6 months ago, Jess B. 
Love it,Never done a hair mask before so wasn’t sure what to expect but I love how it made my hair feel and look. Absolutely recommend!,6 months ago, Amelia H. 
Love!!,"Left my hair feel so smooth. It dries faster, easier to manage and looks so healthy. I love it!",6 months ago, Kate B. 
10 Minute Hair Mask,This is one of my favourite new go-to products! It is such easy use and left my hair feeling so soft and healthy as well as smelling amazing. I will definitely be purchasing again. ,6 months ago, Tayla 
Fresh Hair!,"Use this for the first time and I am in love! First off love that its only 10minutes and it can be added to my normal shower routine, but also after it dried I didnt have any film or leftover product on my hair which made it feel so fresh and healthy!",7 months ago, Emily P. 
What kinda magic is this?!?,I've had really badly damaged hair caused by a lunatic hairdresser who fried my hair with bleach.  I've used this mask once so far and omg it's amazing!  It has made such a huge difference after only using once!,7 months ago, Kerry R. 
10 minute hair mask review! ,I absolutely loved this mask! It smelt amazing and left my hair so much straighter and feeling so much softer! ,7 months ago, Lilly g. 
Love love love ❤️,"The new hair mask is so nice and nourishing, my hair feels so sleek and silky. Super hydrating and smells amazing. Love ",7 months ago, Annalise 
Great for curls! ,"I have thick curly hair, this mask was super easy to use and smells great. It tamed my frizz more without making my curls feel weighted. This is for sure a product that would benefit my damaged hair in the long run! LOVE ",7 months ago, Marisa 
10 minute hair mask,LOVED my results from using the 10 minute hair mask - I have hair extensions so I am really pleased at how soft it made them and how much more manageable my hair is after using this product - thank you tidal hair! 😄,7 months ago, Katie P. 
10 minute hair mask ,My thoughts on this was that this was the best mask I ever used and I’ve tried a lot of hair masks my hair was so shiny and smooth after I recommend this to anyone who struggles with dry frizzy hair like mine and really to anyone it worked so good. ,7 months ago, Crystal F. 
This mask is incredible ✨,"I used this mask for the first time over the weekend and it made my hair so soft and sleek. , It was so incredibly soft after washing out and after styling too! I curled my hair a little bit with a wand and the curls stayed tight, didn’t frizz up like they normally would and the rest of my hair was so sleek too! , Can’t wait to add this into my weekly hair care routine. Would highly recommend to anyone thinking about purchasing- your hair will thank you 🙏🏼 ",7 months ago, Becs C. 
Tidal hair review ,"Made my hair so smooth, was super easy to apply and a great consistency.",7 months ago, Georgia H. 
Soft & Shiny hair ,"Love this product , made my hair feel soft and shiny and the ends of my hair so much smoother .",7 months ago, Cayla 
It’s a yes from me 🙋🏽‍♀️,Love this new hair mask! The texture is rich and creamy and easy to apply. I have super curly and coarse hair and I find it difficult to track down a hair mask that’s buttery and balmy without weighing down my curls. This smoothed out my strands and reduced frizz while still giving my curls bounce and shine.  Not sure if Im meant to use it through my roots too but my hair was in need of some love so I did and I felt it softened my hair and didn’t create any build up or irritation on my scalp.  Also anyone who has curly hair knows the struggle with knots 🥴 I used a wide tooth comb while the mask was processing and it created a really good slip for detangling.  Really loved the scent too - it’s light and yummy but not too much. Im a fan. Another goodie from Tidal Hair 😍😍😍,7 months ago, Mel Jade Gladding  
Tidal hair mask,Love this product! My hair came out so silky smooth and smelt delicious ❤️,7 months ago, Eden H. 
Made my hair so soft!!,"My hair gets pretty dry & knotty due to being bleached! However, this hair mask is great! Made my hair so soft and easy to brush! Feels shiny and a lot healthier - makes it easier to style and blow dry. Would definitely repurchase! ",7 months ago, Michaela 
Best Hair Mask Ever!,"This mask made my dyed hair feel so much healthier and brought back it’s shine! As well as your hair feeling amazing, the smell of this mask makes you feel like you’ve just come from the hair salon . Cannot wait to keep using this and seeing results!",7 months ago, Shakira K. 
Tidal hair mask ,I love this hair mask ! It leaves my hair shiny and smooth . My hair looks healthier ,7 months ago, Roxanne 
So good!,Very nice consistency and smell and helps so much with smoothing and frizzy flyaways,7 months ago, Justine 
Smooooooth!,"This mask made me hair feel much smoother than before, so easy to use & only needs to be left in for 10 minutes rather than upwards of an hour like some masks!, Great packaging with no mess. ",7 months ago, Tammi 
Absolutely obsessed ,Will be repurchasing!!!!!,7 months ago, Ella Y. 
GAME CHANGER,"Absolutely love this product! after my first use my hair felt so soft and hydrated, frizz free and had a nice shine too. , Will definitely be adding this to my Sunday routine!",7 months ago, Georgia 
Absolutely love it!,It makes my hair so smooth! And it smells so good :) I always look forward to using it 🧖‍♀️✨,7 months ago, Johanna-liana@outlook.com 
Great Product! ,Firstly it smells divine! It’s made my hair feel and look healthier and shinier and I couldn’t be happier with the results! This is a must have ✨,7 months ago, Cascade P. 
The best!!! ,"I absolutely loved my experience with this product. , I recently spent some time in Taupō, where I went into some thermal spring pools. I was very silly & let my hair down  in the water ( I would not recommend doing this, especially if you have coloured  hair) Which left it extremely dry & felt awful for weeks!! I tried all kinds of hair masks to help hydrate my hair & nothing seemed to really help. , I decided to try the Tidal hair mask as I heard good things about it from my hairdresser. She was not wrong!! It really worked wonders on my hair, leaving it feeling extremely soft & hydrated again, I was super happy with my results. , I would recommend this product for anymore needing a hydration boost & to help with dry tangly hair. ",7 months ago, Grace 
Hair mask,"Wow the hair mask is amazing has made me hair feel better then what it was has smoothed out the cuticle, I worked at a shampoo shop and never had my hair feeling this good after, well done on The formula for the hair mask I am personally really happy with how my hair feels after the first day we will see how it goes",7 months ago, Casey J. 
Love this hair mask!,It instantly makes my dry frizzy hair smooth and tangle free again and so easy to manage. ,7 months ago, Karen 
Best Mask Ever!!!,"I loved this mask! I am a Cosmetologist and this is by far the Best Mask I have ever used!! It made my hair so soft, shiny and full!!! You need this in your life!",7 months ago, Robin Burrup  
So so good!!,"Such a good product!! My hair feels so silky, I usually wash my hair every day otherwise it gets greasy but I didn’t have to after using this! Got so many compliments about my hair the next day at work! ",7 months ago, Kelsey 
Do yourself a favour and get it now!!!!,"Im never one to leave a review on products but seriously this is a game changer!!! My hair is such an important routine in my daily life just as to my skin care is. So  that being said i've tested a few different products to get my hair looking her best and can I just say... this is now a staple in my weekly routine. Its so incredibly easily... literally put as little or as much as you like in your hair (dry) and leave in for 10 mins! My hair feels not only soft, but its also glossy, little to no frizzy and I find it holds styling curls and things like that so well. It lasts well into the week and by a dusty Sunday you do not have to worry about your hair looking like a mess. Ive found that the more I use it the more repair its helping with. Long story short... DONT THINKN TWICE GO AND GET IT!!!",7 months ago, Liv S. 
Great for longer dry hair ,Worked great! Immediate strength and gloss,7 months ago, Nicole  
Amazing!,Such an easy product to use and it leaves your hair feeling amazing! Highly recommend ,7 months ago, Georgia 
Silky soft! ,"Absolutely love this hair mask! Perfect addition to my hair care routine. My hair instantly felt so much softer and less frizzy after drying. , Would definitely recommend! 😍",7 months ago, Ivana  
Magic mask !!,Love this products. A couple weeks in of using it and my hair feels so silky and smooth. So easy to use and it smells so good. I highly recommend this product 💗,7 months ago, Alison A. 
amazing!! ,"absolutely loved using this mask! left my hair silky and smooth. i have quite damaged hair from getting it dyed frequently, so this product really helped refresh it and make it feel brand new! definitely recommend. ",7 months ago, Lulu  
Love it!,Super easy product to use and honestly does wonders. I’ve tried it a total of three times now and the amount of frizz that’s been reduced is insane to me,7 months ago, Delilah M. 
😍😍,Love how soft it makes my hair 😍 better than any other products I’ve ever used. Did make my roots a little oily but think that’s my hairs issue. ,7 months ago, Kayla M. 
10 minute hair mask,The 10 minute hair mask is amazing!!! I struggle with thin/brittle hair and after using this product it felt so much stronger and soft. Absolutely would recommend this product - so quick and easy and the results are amazing. Will definitely be implementing it into my hair care routine. ,7 months ago, Georgia C. 
NEW HAIR CARE GAME CHANGER,"This was the cherry on top for my new hair care routine. After bleaching my hair for a while now , bringing the hydration back into my hair has been a long journey. I have honestly loved how well this product has made my hair look and feel. ",7 months ago, Maddy R. 
Absolutely Obsessed!,"After using this hair mask weekly for the last month I have become obsessed! I love how it makes my hair feel so soft and silky. I dye my hair often, so it needs the extra moisture and conditioner that this hair mask offers. My friends are always so surprised when I tell them to touch my hair because it's so unbelievably smooth! Totally recommend it if your hair needs extra attention or just maintenance. ",7 months ago, Stefanie T. 
YOU NEED THIS IN YOUR LIFE,"This mask was next level!!! I wash my hair about once a week and by the end of the week its normally greasy but a week later its still soft, shinny and feeling and looking amazing. If you are considering buying this DO IT. ",7 months ago, Ella 
Highly recommend! ,Love using this product! I’ve used it a few times now and its making my hair so soft and silky 😍 I am obsessed!! ,7 months ago, Alison W. 
New favourite product ,"This mask makes me hair feel absolutely amazing every time I use it… and it smells great too which is an extra bonus. My hair feels so much more hydrated after using it, I would definitely recommend! ",7 months ago, Lucy 
10/10,"Salon finish hair at home! Don’t need to spend $$ at the salon anymore for treatments, 💯 recommended this hair mask.",7 months ago, Kiah B. 
GAME CHANGER!!!! ,Looking at photos of how my hair used to sit compared to using the mask is honestly incredible!!! My hair did it’s own thing before! Frizz everywhere would never sit right or hold hair styles for very long until this holy grail! No more crazy fly always and perfect duo is this mask and the blow brush!!! I cannot express enough the combo!! This mask changed my hair for the absolute better and can finally feel the the softness and repair just like coming back from the hairdressers in the comfort of my own home!! Best thing to ever exist!! ,7 months ago, Kelsey j. 
Love this mask! ,"After using this once my hair feels amazing! The mask made my hair feel super soft, shiny and smooth without weighing it down ✨ ",7 months ago, Leah  
Miracle mask !,Literally amazing results I was so shocked! ,7 months ago, Christell n. 
ABSOLUTELY LOVE,"This has to be my new favourite hair mask, such a difference after just one time using it 😍 hair feels softer and looks so much more healthy!!",7 months ago, Michaela P. 
In love with this product!,I have used this for a couple weeks now and have been getting so many compliments on how my hair looks! Will continue to use this often ❤️,7 months ago, Mela M. 
Hair Mask,"I love this product so much! I personally have rough and thick hair but with this product it made my hair very smooth, silky and made it look more healthy. Would highly recommend!",7 months ago, Shradha M. 
Hair mask! ,Amazing! Such a great product! 100% recommend! ,7 months ago, Steph 
Best hair mask!,Seriously the best hair mask I’ve tried! Leave my hair feeling amazing ,7 months ago, Poppy J. 
Magic Mask,Love the 10 minute mask. So quick and easy. Makes my hair feel so healthy fresh and think. Amazing volume and photos prove it! ,7 months ago, Paige M. 
Amazing! ,"This made my hair feel so soft and hydrated! Typically hair masks are too heavy for my hair, leaving it oily and greasy, but this one doesn't do that at all and feels so good. Will defiantly be re purchasing! ",7 months ago, Sherilyn U  
Smells delish ,Smells amazing and felt nice on my hair. Easy to wash out and didn’t leave a heavy feeling on my hair ,7 months ago, Thehairgirl  
this is the best hair mask ever !!,"When I say you need this hair mask in your life YOU NEED IT !! This hair mask has done wonders for my hair ! Just after one use I have seen major improvements to my hair health. My hair is shinny, silky smooth and has never looked this good until now ! Highly recommend this product if you want your hair to look and feel perfect !!",7 months ago, Ali T. 
Tidal Hair Mask,"What I love the most about this hair mask is that it helps detangle my hair! My hair can get really knotty and this makes it so easy to brush. I also love that after using the treatment my hair always feels so smooth, light and soft ☺️",7 months ago, Faith M. 
5 stars! ,"I am super low maintenance with my hair and this was an easy addition that made such a big difference. My hair feels so soft, is smoother than usual and has less flyaways, not to mention it also smells like I’ve just stepped out of the salon - but in the comfort of my own home 🤍. ",7 months ago, Sony M. 
Love it,"This hair mask left my hair feeling so soft and light after the first use! My hair is very frizzy and it dried down smooth which was amazing., It also gets extra points because it smells so good.",7 months ago, Shani 
Love this hair mask ,The best hair mask I've used left my hair feeling smooth and healthy!! ,7 months ago, Sunyana 
Love this hair mask! ,This hair mask worked so well on my bleached hair and instantly brought my hair back to life! Leaves my hair looking super shiny. ,7 months ago, Montana  
Amazing!!!,Absolutely love this product! My hair feels so smooth and healthy!! 😍 😍 ,7 months ago, Grace M. 
Love!,Left my hair super soft and silky and reduced my frizz after one use,7 months ago, Paige 
Hair so silky,"Love the hair mask!! Makes my hair feel so silky and smooth, use it once a week.",7 months ago, I L. 
Best hair mask,Has been the best for my bleached blonde hair. It is super hydrating and leaves my hair feeling silky and soft,7 months ago, Lily d. 
Noticeable after the first use! ,"I love love love this mask! My hair instantly felt softer and more manageable from the first use, it smells amazing as well. My hair is waist length so when I tell you a little goes a long way I mean it! I use this mask once a week and it has made such a difference in hydration and frizzyness! ",7 months ago, Katie M. 
Absolute fave! ,"I love this product. After my first time using it my hair was softer, shinier and dried so nicely. I now use this product once a week before I wash my hair. It’s the best. My new favourite hair product.",7 months ago, Mae 
LOVE this mask!!,Makes your hair so soft! Highly recommend! Before & after pics attached :),7 months ago, Ella 
Hydrating & smoothing,"Loved this mask, helped with my frizz from heat damage and left my hair glossy not greasy!",7 months ago, Antonia D. 
AMAZING!! ,My hair honestly feels sooo soft and hydrated! After using the 10 minute miracle hair mask by Tidal 😊 I am sooo happy I put myself into trying something new and was able to try this product because it will now be an essential for me!! ❤️,7 months ago, Natalie L. 
SO hydrating ,Been using this hair mask once-twice a week for the last month and I am truely loving it!! It not only smells so luxurious but the results are amazing. Leaves my hair so moisturised and soft. Definitely worth giving it a try. ,8 months ago, Savannah  
Smooth hair ,First of all I adore the tube it comes in and the bright orange packaging is really pretty. I think the whole packaging is really thought out and looks so stylish in the bathroom. The mask itself is a beautiful silky smooth texture and when applied to my hair it instantly feels softer and conditioned. I apply it after shampooing and my purple toner. When I rinse it out after 10 minutes my hair is super soft and manageable.  I feel like I do t need to condition my hair after the mask as it’s perfect already. I just dry off my hair and style as usual and you can definitely notice a difference. My hair is very dry due to blonde upkeep and it’s noticeably softer and smoother even after one use. I have less fly ways and my hair feels so good. ,8 months ago, Leanne Le s. 
I’m in love!!,"The best hair mask ever! It made my hair feel super smooth and healthy. I had just dyed my hair and desperately needed something to give it some more moisture and softness, it completely tamed my hair and made it incredibly soft 😍😍 I’m so obsessed!",8 months ago, Sofia 
Obsessed,"Absolutely love the feeling of my hair and manageability after this mask! The smell is really sweet & floral but still pretty subtle, and the texture I found was still lightweight that it didn’t feel heavy and leave any residue like some hair masks can. Feels so silky after being rinsed,  makes styling hair easier, and if I want to leave my hair natural my curls have no frizz. Absolutely love 💕 ",8 months ago, Greyci A. 
Buttery Soft! ,The easiest mask to use! Such a quick way to achieve a buttery smooth texture 😍 It has made my hair feel like literal silk. OBSESSED!! ,8 months ago, Lucinda E. 
A must have!,"This hair mask worked so well and I was surprised at how healthy and smooth and light my hair was after using this. I’ve always had very dry, quite coarse hair particularly my ends and after using the mask my hair was so smooth, shiny and healthy looking! I’m so happy! I’d recommend this for anyone who has the same problems.",8 months ago, Erica 
AMAZING !!! 😍😍,This mask left my hair feeling super soft and not weighed down! I also loved the subtle peachy scent..so yummy!,8 months ago, Shannon 
Hair mask ,Was super fast! And was great for my hair. Super happy with the results :) ,8 months ago, Mckenzie J. 
This stuff rocks!!!,"I have typical Asian hair, where it’s oily at the top and dry at the ends. After one use of the mask and Omgggg my hair is so smooth and tamed, the ends weren’t dry!!! Definitely will be my go to hair mask from now on. Thanks Tidal 🧡",8 months ago, Mandi C. 
